,Words,Frequency
0,streetfood,11
1,foodieincarnate,10
2,dilsecouple,9
3,dilsefoodie,9
4,foodzeee,8
5,delhigram,7
6,newdelhi,7
7,sodelhi,7
8,foodtalkindia,7
9,sgr777food,7
10,indianfoodblogger,6
11,indianfoodie,6
12,delhifoodblogger,6
13,indianfood,6
14,desikhana,6
15,foodblogger,6
16,recipe,6
17,delhi,6
18,delhifood,6
19,indianfoodbloggers,6
20,mumbaistreetfood,5
21,streetfoodindia,5
22,mumbai,5
23,delhistreetfood,5
24,indianstreetfood,5
25,foodgram,4
26,foodie,4
27,foodiesofinstagram,4
28,delhifoodie,4
29,foodlover,4
30,breakfasttour,4
31,reels,4
32,foodexploration,4
33,foodpornshare,4
34,foodwalkawithanubhav,4
35,kanpurfoodies,4
36,dfwinkanpur,4
37,foodgasm,4
38,foodporn,4
39,reelkarofeelkaro,3
40,reelitfeelit,3
41,viralfood,3
42,explore,3
43,desifood,3
44,rnrbiryani,3
45,foodzeee,3
46,thali,3
47,reelsinstagram,3
48,chicken,2
49,monsoonsweets,2
50,nashik,2
51,highway,2
52,mithai,2
53,PrimeDay,2
54,instafoodlover,1
55,cholebhature,1
56,khakhra,1
57,sweetcorn,1
58,bhutta,1
59,chole,1
60,gujju,1
61,chana,1
62,paharganj,1
63,bhature,1
64,delhite,1
65,puranidilli,1
66,kulcha,1
67,indiancuisine,1
68,instagramfood,1
69,foodinstagram,1
70,streetfoods,1
71,streetfoodlover,1
72,olddelhi,1
73,dessertporn,1
74,panipuri,1
75,foodstories,1
76,sobangalore,1
77,balushahi,1
78,bayashi_tv,1
79,maxthemeatguy,1
80,notorious_foodie,1
81,darwins.ilva,1
82,fitwaffle,1
83,saidakromchef,1
84,bnaporkstore,1
85,sadfman,1
86,umihito.vlog,1
87,paratha,1
88,Jaipur,1
89,pizzalover,1
90,patna,1
91,bihar,1
92,pune,1
93,gurugram,1
94,kolkata,1
95,shahdara,1
96,eastdelhi,1
97,southindianfood,1
98,dessert,1
99,desserts,1
100,mumbaifood,1
101,indiandessert,1
102,soulfood,1
103,pizza,1
104,travelfood,1
105,sirohi,1
106,rajasthan,1
107,dilsecouple,1
108,foodiewe,1
109,awishvasniye,1
110,adhbhut,1
111,anokha,1
112,fish,1
113,roasted,1
114,Murthal,1
115,ArnavResorts,1
116,wake_n_bite,1
117,ulhaskamthe,1
118,_bhaskar_dutta,1
119,ghee,1
120,desi,1
121,cow,1
122,village,1
123,Hampers,1
124,Rakhi,1
125,sugar_bake_by_arsheen_kohli,1
126,food,1
127,Alootikki,1
128,nizamuddin,1
129,malaighewar,1
130,walkwithdfw,1
131,walkwithanubhav,1
132,foodtourism,1
133,foodtours,1
134,delhifoodwalks,1
135,foodwalk,1
136,sawan,1
137,indiansweet,1
138,ghewar,1
139,anarsa,1
140,kanpurfood,1
141,kanpurfoodtour,1
142,bestnonvegplaces,1
143,nonvegfoodtour,1
144,delhifoodtour,1
145,makhanlalhalwai,1
146,monsoon,1
147,feni,1
148,india,1
149,chaat,1
150,jhalmuri,1
151,amarsirohi,1
152,paneer,1
153,rnr,1
154,biriyani,1
155,donnebiryani,1
156,rnrbiryani,1
157,misal,1
158,rajasthanifood,1
159,mountabu,1
160,localflavor,1
161,cheese,1
162,rajasthanfood,1
163,indiatravel,1
164,delhistreetfoodtour,1
165,mumbaifoodie,1
166,foodbloggers,1
167,travelblogger,1
168,dhaba,1
169,highwayfood,1
170,masalapaneer,1
171,cottagecheese,1
172,keralarecipes,1
173,paalkova,1
174,kadalacurry,1
175,puttu,1
176,sgr777foods,1
177,kuzhambu,1
178,vathakuzhambu,1
179,therattipal,1
180,milk,1
181,milksweet,1
182,collab,1
183,nostalgic,1
184,amazonnews_in,1
185,DiscoverJoyWithAmazon,1
186,ottushavige,1
187,shavige,1
188,ricesevai,1
189,sgr777food,1
190,sevai,1
191,www.sgr777foods.com,1
192,albert_cancook,1
